column,missing_count,missing_pct,unique_values
outcome_binary,380,38.0,2
duration_bucket,54,5.4,4
trial_duration_days,54,5.4,681
completion_date_dt,52,5.2,600
primary_completion_date_dt,51,5.1,610
enrollment_type,44,4.4,2
phase_int,40,4.0,6
phase,40,4.0,7
enrollment_n,26,2.6,253
official_title,6,0.6,994
start_date_dt,5,0.5,693
start_year,5,0.5,36
tech_group,0,0.0,35
indication_group,0,0.0,15
n_drugs,0,0.0,17
flag_no_dates,0,0.0,2
therapy_type,0,0.0,2
flag_zero_enroll,0,0.0,2
is_combination,0,0.0,2
trial_id,0,0.0,1000
nct_id,0,0.0,1000
outcome,0,0.0,4
status_clean,0,0.0,8
recruitment_status,0,0.0,9
phase_clean,0,0.0,7
brief_title,0,0.0,1000
flag_no_phase,0,0.0,2
