,dtype,null_count,missing_%,unique_values,completeness_%,severity
ID-datalake,int64,0,0.0,1000,100.0,Excellent
nct_id,object,0,0.0,1000,100.0,Excellent
brief_title,object,0,0.0,1000,100.0,Excellent
official_title,object,6,0.6,994,99.4,Good
phase,object,40,4.0,7,96.0,Good
recruitment_status,object,0,0.0,9,100.0,Excellent
start_date,object,5,0.5,693,99.5,Good
completion_date,object,52,5.2,600,94.8,Warning
primary_completion_date,object,51,5.1,610,94.9,Warning
enrollment,float64,26,2.6,253,97.4,Good
enrollment_type,object,44,4.4,2,95.6,Good
indications,object,0,0.0,463,100.0,Excellent
interventions_drugs,object,0,0.0,948,100.0,Excellent
drugs_datalake,object,0,0.0,846,100.0,Excellent
main_technologies,object,0,0.0,194,100.0,Excellent
specific_technologies,object,0,0.0,227,100.0,Excellent
target_names,object,0,0.0,663,100.0,Excellent
target_abbreviations,object,0,0.0,687,100.0,Excellent
