indication_group,phase_clean,n_resolved,n_positive,success_rate_%,ci_low_%,ci_high_%,reliable
AML,Phase 1,7,3,42.9,,,⚠ n=7
AML,Phase 1/2,2,0,0.0,,,⚠ n=2
AML,Phase 2,8,6,75.0,,,⚠ n=8
AML,Phase 2/3,1,0,0.0,,,⚠ n=1
AML,Phase 3,1,1,100.0,,,⚠ n=1
AML,Phase 4,1,1,100.0,,,⚠ n=1
Breast Cancer,Phase 1,13,11,84.6,57.8,95.7,✓
Breast Cancer,Phase 1/2,9,6,66.7,,,⚠ n=9
Breast Cancer,Phase 2,25,20,80.0,60.9,91.1,✓
Breast Cancer,Phase 2/3,1,0,0.0,,,⚠ n=1
Breast Cancer,Phase 3,2,2,100.0,,,⚠ n=2
Breast Cancer,Phase 4,1,1,100.0,,,⚠ n=1
Breast Cancer,Unknown,4,2,50.0,,,⚠ n=4
Colorectal Cancer,Phase 1,2,2,100.0,,,⚠ n=2
Colorectal Cancer,Phase 1/2,3,3,100.0,,,⚠ n=3
Colorectal Cancer,Phase 2,5,4,80.0,,,⚠ n=5
Colorectal Cancer,Phase 3,4,4,100.0,,,⚠ n=4
Colorectal Cancer,Phase 4,1,1,100.0,,,⚠ n=1
Gastric Cancer,Phase 1,2,2,100.0,,,⚠ n=2
Gastric Cancer,Phase 1/2,1,0,0.0,,,⚠ n=1
Gastric Cancer,Phase 2,4,3,75.0,,,⚠ n=4
Gastric Cancer,Phase 2/3,1,1,100.0,,,⚠ n=1
Gastric Cancer,Phase 4,1,0,0.0,,,⚠ n=1
Gastric Cancer,Unknown,2,1,50.0,,,⚠ n=2
Head & Neck Cancer,Phase 1,3,2,66.7,,,⚠ n=3
Head & Neck Cancer,Phase 1/2,4,3,75.0,,,⚠ n=4
Head & Neck Cancer,Phase 2,6,3,50.0,,,⚠ n=6
Head & Neck Cancer,Phase 3,4,3,75.0,,,⚠ n=4
Hematologic Malignancies,Phase 1,8,6,75.0,,,⚠ n=8
Hematologic Malignancies,Phase 1/2,3,0,0.0,,,⚠ n=3
Hematologic Malignancies,Phase 2,9,7,77.8,,,⚠ n=9
Hematologic Malignancies,Phase 3,3,3,100.0,,,⚠ n=3
Leukemia,Phase 1,8,6,75.0,,,⚠ n=8
Leukemia,Phase 1/2,2,2,100.0,,,⚠ n=2
Leukemia,Phase 2,7,4,57.1,,,⚠ n=7
Leukemia,Phase 2/3,1,1,100.0,,,⚠ n=1
Leukemia,Phase 3,3,3,100.0,,,⚠ n=3
Leukemia,Unknown,3,3,100.0,,,⚠ n=3
Lymphoma,Phase 1,3,3,100.0,,,⚠ n=3
Lymphoma,Phase 1/2,2,2,100.0,,,⚠ n=2
Lymphoma,Phase 2,15,15,100.0,79.6,100.0,✓
Lymphoma,Phase 3,1,1,100.0,,,⚠ n=1
Lymphoma,Phase 4,1,1,100.0,,,⚠ n=1
Multiple Myeloma,Phase 1,7,6,85.7,,,⚠ n=7
Multiple Myeloma,Phase 1/2,5,2,40.0,,,⚠ n=5
Multiple Myeloma,Phase 2,14,5,35.7,16.3,61.2,✓
Multiple Myeloma,Phase 2/3,1,1,100.0,,,⚠ n=1
NSCLC,Phase 1,16,8,50.0,28.0,72.0,✓
NSCLC,Phase 1/2,6,5,83.3,,,⚠ n=6
NSCLC,Phase 2,20,13,65.0,43.3,81.9,✓
NSCLC,Phase 3,5,3,60.0,,,⚠ n=5
NSCLC,Phase 4,1,1,100.0,,,⚠ n=1
NSCLC,Unknown,1,1,100.0,,,⚠ n=1
Other,Phase 1,59,47,79.7,67.7,88.0,✓
Other,Phase 1/2,32,24,75.0,57.9,86.7,✓
Other,Phase 2,88,61,69.3,59.0,78.0,✓
Other,Phase 2/3,2,2,100.0,,,⚠ n=2
Other,Phase 3,39,32,82.1,67.3,91.0,✓
Other,Phase 4,8,8,100.0,,,⚠ n=8
Other,Unknown,13,11,84.6,57.8,95.7,✓
Ovarian Cancer,Phase 1,11,7,63.6,35.4,84.8,✓
Ovarian Cancer,Phase 1/2,2,1,50.0,,,⚠ n=2
Ovarian Cancer,Phase 2,11,8,72.7,43.4,90.3,✓
Ovarian Cancer,Phase 2/3,2,2,100.0,,,⚠ n=2
Ovarian Cancer,Phase 4,1,1,100.0,,,⚠ n=1
Ovarian Cancer,Unknown,1,0,0.0,,,⚠ n=1
Pancreatic Cancer,Phase 1,16,8,50.0,28.0,72.0,✓
Pancreatic Cancer,Phase 1/2,7,5,71.4,,,⚠ n=7
Pancreatic Cancer,Phase 2,10,8,80.0,49.0,94.3,✓
Pancreatic Cancer,Phase 3,1,0,0.0,,,⚠ n=1
Pancreatic Cancer,Phase 4,1,0,0.0,,,⚠ n=1
Pancreatic Cancer,Unknown,1,1,100.0,,,⚠ n=1
Prostate Cancer,Phase 1,2,0,0.0,,,⚠ n=2
Prostate Cancer,Phase 2,6,4,66.7,,,⚠ n=6
Prostate Cancer,Phase 3,7,4,57.1,,,⚠ n=7
Prostate Cancer,Unknown,1,1,100.0,,,⚠ n=1
Solid Tumors (NOS),Phase 1,30,28,93.3,78.7,98.2,✓
Solid Tumors (NOS),Phase 1/2,2,1,50.0,,,⚠ n=2
Solid Tumors (NOS),Phase 2,3,1,33.3,,,⚠ n=3
Solid Tumors (NOS),Phase 3,1,1,100.0,,,⚠ n=1
