metric,value
total_trials,1000.0
positive_trials,453.0
negative_trials,167.0
censored_trials,259.0
unknown_trials,121.0
resolved_trials,620.0
success_rate_%,73.06
ci_low_%_wilson,69.44
ci_high_%_wilson,76.41
unknown_%_of_total,12.1
censored_%_of_total,25.9
pessimistic_rate_%,61.13
optimistic_rate_%,77.46
sensitivity_spread_pp,16.33
chi2_phase_pvalue,0.3911
chi2_indication_pvalue,0.0014
chi2_combo_pvalue,0.7495
enrollment_mannwhitney_pvalue,0.0
duration_mannwhitney_pvalue,0.0
logistic_regression_auc,0.744
